"측정일시","측정소명","이산화질소농도(ppm)","오존농도(ppm)","일산화탄소농도(ppm)","아황산가스(ppm)","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)"
"202207291300","강동구","0.005","0.037","0.2","0.002","12","10"
"202207291300","동대문구","0.009","0.057","0.3","0.003","26","15"
"202207291300","성동구","0.01","0.052","0.3","0.003","24","10"
"202207291300","관악구","0.009","0.045","0.2","0.003","20","16"
"202207291300","서초구","0.009","0.047","0.3","0.002","18","11"
"202207291300","구로구","0.008","0.052","0.3","0.002","15","10"
"202207291300","중구","0.017","0.048","0.4","0.003","19","15"
"202207291300","송파구","0.009","0.055","0.3","0.003","22","11"
"202207291300","도봉구","0.006","0.048","0.4","0.002","17","8"
"202207291300","성북구","0.011","0.059","0.3","0.002","21","13"
"202207291300","강북구","","","","","",""
"202207291300","중랑구","0.011","0.051","0.3","0.002","19","10"
"202207291300","종로구","0.011","0.057","0.3","0.003","19","16"
"202207291300","양천구","","","","","",""
"202207291300","광진구","0.007","0.042","0.4","0.003","24","14"
"202207291300","동작구","0.007","0.051","0.2","0.003","16","13"
"202207291300","용산구","0.011","0.05","0.3","0.003","","24"
"202207291300","노원구","0.006","0.054","0.3","0.002","19","16"
"202207291300","강서구","0.009","0.059","0.3","0.002","18","13"
"202207291300","서대문구","0.01","0.056","0.4","0.002","14","9"
"202207291300","영등포구","0.011","0.05","0.3","0.003","21","10"
"202207291300","금천구","0.013","0.055","0.3","0.003","18","17"
"202207291300","은평구","0.011","0.051","0.3","0.002","19","16"
"202207291300","강남구","0.009","0.049","0.2","0.003","20","11"
"202207291300","마포구","0.009","0.057","0.2","0.003","12","12"
"202207291200","마포구","0.008","0.047","0.2","0.002","22","10"
"202207291200","동작구","0.007","0.046","0.2","0.002","18","14"
"202207291200","강남구","0.011","0.05","0.3","0.003","24","14"
"202207291200","서대문구","0.008","0.043","0.4","0.002","18","9"
"202207291200","도봉구","0.007","0.048","0.4","0.002","18","9"
"202207291200","관악구","0.008","0.038","0.3","0.003","22","17"
"202207291200","노원구","0.007","0.052","0.3","0.002","23","13"
"202207291200","중랑구","0.012","0.049","0.3","0.002","28","19"
"202207291200","성북구","0.016","0.046","0.3","0.002","23","11"
"202207291200","은평구","0.013","0.038","0.3","0.002","14","16"
"202207291200","광진구","0.007","0.041","0.4","0.003","23","15"
"202207291200","구로구","0.006","0.046","0.3","0.002","12","12"
"202207291200","강동구","0.005","0.037","0.2","0.002","16","16"
"202207291200","영등포구","0.012","0.042","0.3","0.002","22","14"
"202207291200","강서구","0.01","0.05","0.3","0.003","16","12"
"202207291200","동대문구","0.01","0.056","0.3","0.002","21","17"
"202207291200","중구","0.019","0.043","0.4","0.004","21","17"
"202207291200","성동구","0.01","0.051","0.3","0.003","27","20"
"202207291200","강북구","","","","","",""
"202207291200","송파구","0.01","0.048","0.3","0.003","","24"
"202207291200","양천구","","","","","",""
"202207291200","서초구","0.01","0.044","0.3","0.002","19","7"
"202207291200","금천구","0.01","0.05","0.2","0.003","22","17"
"202207291200","종로구","0.013","0.048","0.4","0.003","24","13"
"202207291200","용산구","0.02","0.047","0.3","0.003","25","21"
"202207291100","구로구","0.006","0.038","0.3","0.002","13","5"
"202207291100","서대문구","0.009","0.036","0.4","0.003","23","11"
"202207291100","노원구","0.007","0.044","0.3","0.002","",""
"202207291100","용산구","0.031","0.032","0.3","0.004","29","16"
"202207291100","동대문구","0.011","0.046","0.3","0.003","25","14"
"202207291100","은평구","0.01","0.033","0.3","0.002","","17"
"202207291100","마포구","0.011","0.042","0.3","0.003","23","12"
"202207291100","중구","0.019","0.036","0.4","0.004","22","17"
"202207291100","성동구","0.013","0.041","0.3","0.004","24","13"
"202207291100","서초구","0.01","0.039","0.3","0.002","31","7"
"202207291100","영등포구","0.015","0.037","0.3","0.003","23","12"
"202207291100","성북구","0.013","0.041","0.4","0.002","23","11"
"202207291100","동작구","0.007","0.04","0.2","0.002","20","13"
"202207291100","강남구","0.016","0.039","0.3","0.003","21","13"
"202207291100","양천구","","","","","",""
"202207291100","관악구","0.009","0.032","0.3","0.003","22","14"
"202207291100","광진구","0.01","0.035","0.4","0.003","23","15"
"202207291100","강동구","0.005","0.035","0.3","0.002","17","13"
"202207291100","금천구","0.012","0.039","0.2","0.003","19","14"
"202207291100","강북구","","","","","",""
"202207291100","강서구","0.014","0.042","0.3","0.002","26","15"
"202207291100","도봉구","0.006","0.04","0.4","0.002","17","10"
"202207291100","종로구","0.014","0.039","0.4","0.003","22","15"
"202207291100","중랑구","0.012","0.044","0.3","0.002","25","14"
"202207291100","송파구","0.011","0.044","0.3","0.003","24","19"
"202207291000","구로구","0.012","0.031","0.3","0.002","18","7"
"202207291000","광진구","0.012","0.025","0.4","0.003","17","11"
"202207291000","금천구","0.012","0.037","0.3","0.003","15","11"
"202207291000","중구","0.022","0.024","0.6","0.004","19","14"
"202207291000","마포구","0.016","0.031","0.3","0.003","23","11"
"202207291000","성북구","0.013","0.031","0.3","0.002","19","13"
"202207291000","노원구","0.008","0.033","0.3","0.002","21","14"
"202207291000","강동구","0.006","0.029","0.3","0.003","14","8"
"202207291000","도봉구","0.007","0.03","0.4","0.002","15","6"
"202207291000","용산구","0.025","0.026","0.3","0.003","26","16"
"202207291000","강서구","0.017","0.033","0.4","0.003","23","11"
"202207291000","성동구","0.014","0.03","0.3","0.003","23","18"
"202207291000","동작구","0.012","0.031","0.3","0.003","19","12"
"202207291000","강남구","0.017","0.028","0.3","0.003","20","10"
"202207291000","은평구","0.01","0.026","0.3","0.002","","16"
"202207291000","중랑구","0.013","0.031","0.3","0.002","21","12"
"202207291000","영등포구","0.016","0.027","0.4","0.003","25","10"
"202207291000","종로구","0.014","0.03","0.4","0.003","16","9"
"202207291000","양천구","","","","","",""
"202207291000","동대문구","0.011","0.034","0.3","0.003","21","15"
"202207291000","송파구","0.01","0.034","0.3","0.003","24","14"
"202207291000","강북구","","","","","",""
"202207291000","관악구","0.014","0.025","0.3","0.003","23","15"
"202207291000","서대문구","0.012","0.027","0.4","0.002","18","12"
"202207291000","서초구","0.013","0.031","0.3","0.003","17","6"
"202207290900","서초구","0.014","0.024","0.3","0.003","19","6"
